,user,item,actual,predicted
0,3934,156,5,4.9973493
1,815,904,5,3.2833238
2,35286,859,4,4.035331
3,22974,151,5,4.87544
4,10892,54,5,4.744701
5,1663,95,5,4.920596
6,26896,20,5,3.722189
7,30362,36,3,3.405642
8,7200,90,5,3.9273226
9,6512,817,5,4.8006635
10,13897,263,5,2.9570818
11,7410,16,3,3.01855
12,10185,852,3,4.603535
13,4934,122,2,3.89321
14,26764,169,5,4.483443
15,6027,172,3,3.5319529
16,32717,83,5,4.782838
17,6368,203,4,4.495174
18,9068,62,4,4.111106
19,33392,127,5,3.88691
20,40750,63,5,4.7452087
21,3588,18,5,4.9184117
22,3635,5,5,4.748186
23,24342,315,3,3.6047535
24,2139,89,5,4.301571
25,7937,45,2,2.0950828
26,24576,100,3,3.0732207
27,44037,5,5,4.2209344
28,1732,27,3,3.9536512
29,37970,14,5,4.814821
30,12853,8,4,3.9686503
31,3424,1,2,4.85495
32,4810,753,5,4.5700917
33,39950,188,5,4.4805293
34,4494,83,4,4.2391953
35,6689,51,5,4.634925
36,27708,300,4,3.6842084
37,1318,65,5,4.8706355
38,11103,72,2,2.9673684
39,26292,131,5,4.5452185
40,5422,92,5,4.590998
41,6582,178,5,4.824204
42,20188,138,3,4.552531
43,8967,88,3,3.9590619
44,18995,784,5,3.3795605
45,298,96,5,4.5284057
46,38139,171,5,4.719762
47,1920,239,5,4.122371
48,39064,15,5,4.7449803
49,20564,3,3,3.497582
50,36667,117,4,4.0541778
51,12112,93,5,3.9625719
52,3490,327,4,4.0989037
53,27176,164,3,3.4602354
54,6167,201,5,3.9065697
55,194,48,5,4.8903003
56,712,4,1,4.9519496
57,7878,128,2,4.203716
58,28078,152,5,4.625106
59,19308,32,5,4.698175
60,36466,39,5,4.5583673
61,34164,817,5,4.590606
62,5050,52,5,4.441695
63,3597,33,5,4.8839107
64,27359,112,4,3.7057567
65,6442,859,3,3.8571782
66,8206,7,5,4.6017933
67,4055,1002,5,3.878004
68,32769,235,5,4.565565
69,24188,40,4,4.1806736
70,4179,648,3,3.8667612
71,9694,15,4,4.1957526
72,42694,110,5,4.1040764
73,5595,43,4,4.1351657
74,852,141,2,4.634883
