,userId,movieId,rating,timestamp
0,309,1,4,2010-01-21 08:00:00+00:00
1,13009,1,3,2010-01-27 08:00:00+00:00
2,5534,1,4,2010-01-29 08:00:00+00:00
3,1716,1,4,2010-02-13 08:00:00+00:00
4,42071,1,4,2010-02-18 08:00:00+00:00
5,19509,1,5,2010-02-25 08:00:00+00:00
6,3485,1,2,2010-02-26 08:00:00+00:00
7,22983,1,5,2010-03-26 07:00:00+00:00
8,1964,1,4,2010-04-06 07:00:00+00:00
9,6862,1,4,2010-04-08 07:00:00+00:00
10,380,1,5,2010-04-24 07:00:00+00:00
11,10927,2,5,2010-04-30 07:00:00+00:00
12,17748,1,5,2010-05-04 07:00:00+00:00
13,27219,1,5,2010-05-05 07:00:00+00:00
14,36776,1,4,2010-05-28 07:00:00+00:00
15,3897,1,5,2010-06-01 07:00:00+00:00
16,3276,1,5,2010-06-11 07:00:00+00:00
17,3748,1,5,2010-06-11 07:00:00+00:00
18,33078,1,1,2010-06-14 07:00:00+00:00
19,43705,2,5,2010-06-17 07:00:00+00:00
20,4774,1,5,2010-06-17 07:00:00+00:00
22,6488,1,4,2010-06-19 07:00:00+00:00
23,4617,2,5,2010-06-19 07:00:00+00:00
25,42721,1,5,2010-06-21 07:00:00+00:00
27,13885,1,3,2010-06-22 07:00:00+00:00
28,4985,2,5,2010-06-22 07:00:00+00:00
29,2759,2,5,2010-06-23 07:00:00+00:00
31,36172,2,4,2010-06-23 07:00:00+00:00
32,2058,2,5,2010-06-25 07:00:00+00:00
33,6692,2,5,2010-06-26 07:00:00+00:00
34,2758,2,5,2010-06-28 07:00:00+00:00
35,857,1,5,2010-07-01 07:00:00+00:00
36,3415,2,5,2010-07-04 07:00:00+00:00
39,34382,1,3,2010-07-23 07:00:00+00:00
40,4006,1,5,2010-08-02 07:00:00+00:00
41,5891,1,2,2010-08-05 07:00:00+00:00
43,4397,1,5,2010-08-09 07:00:00+00:00
45,3089,1,5,2010-08-10 07:00:00+00:00
46,13672,1,4,2010-08-11 07:00:00+00:00
47,3702,1,5,2010-08-17 07:00:00+00:00
49,28705,1,1,2010-09-03 07:00:00+00:00
50,1176,3,4,2010-09-14 07:00:00+00:00
51,29765,3,4,2010-09-15 07:00:00+00:00
53,5129,3,5,2010-09-19 07:00:00+00:00
54,2465,3,5,2010-09-22 07:00:00+00:00
55,30062,1,2,2010-09-25 07:00:00+00:00
56,5924,2,5,2010-09-26 07:00:00+00:00
57,6316,1,4,2010-09-28 07:00:00+00:00
58,339,2,4,2010-10-01 07:00:00+00:00
59,4440,2,5,2010-10-01 07:00:00+00:00
60,5568,2,2,2010-10-02 07:00:00+00:00
61,5168,3,5,2010-10-03 07:00:00+00:00
62,29982,2,4,2010-10-04 07:00:00+00:00
64,124,2,5,2010-10-06 07:00:00+00:00
65,18102,3,5,2010-10-07 07:00:00+00:00
68,1296,2,5,2010-10-09 07:00:00+00:00
69,3197,3,5,2010-10-10 07:00:00+00:00
70,15933,2,3,2010-10-11 07:00:00+00:00
73,697,2,2,2010-10-15 07:00:00+00:00
74,40121,3,5,2010-10-16 07:00:00+00:00
75,30266,1,3,2010-10-18 07:00:00+00:00
76,852,1,4,2010-10-19 07:00:00+00:00
77,3578,2,5,2010-10-19 07:00:00+00:00
79,2481,3,2,2010-10-21 07:00:00+00:00
80,21905,2,5,2010-10-21 07:00:00+00:00
81,6476,2,4,2010-10-22 07:00:00+00:00
82,41159,2,3,2010-10-23 07:00:00+00:00
83,6185,2,1,2010-10-24 07:00:00+00:00
84,17852,3,4,2010-10-29 07:00:00+00:00
85,1479,2,5,2010-10-31 07:00:00+00:00
86,6720,2,4,2010-11-01 07:00:00+00:00
88,1958,3,5,2010-11-03 07:00:00+00:00
89,10523,1,5,2010-11-04 07:00:00+00:00
90,246,2,3,2010-11-05 07:00:00+00:00
91,17701,2,2,2010-11-05 07:00:00+00:00
93,8766,1,5,2010-11-05 07:00:00+00:00
94,5202,3,5,2010-11-06 07:00:00+00:00
95,384,1,4,2010-11-06 07:00:00+00:00
97,26577,1,4,2010-11-06 07:00:00+00:00
98,42721,2,3,2010-11-06 07:00:00+00:00
99,543,2,5,2010-11-06 07:00:00+00:00
101,24074,2,4,2010-11-07 07:00:00+00:00
